Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,32534,CPI Score,Total,8,8,12,11,15,15,16,16,19
AFG,Afghanistan,32535,Rank,Rank,174,175,172,166,169,177,172,173,165
AGO,Angola,32534,CPI Score,Total,22,23,19,15,18,19,19,26,27
AGO,Angola,32535,Rank,Rank,157,153,161,163,164,167,165,146,142
ALB,Albania,32534,CPI Score,Total,33,31,33,36,39,38,36,35,36
ALB,Albania,32535,Rank,Rank,113,116,110,88,83,91,99,106,104
ARE,United Arab Emirates,32534,CPI Score,Total,68,69,70,70,66,71,70,71,71
ARE,United Arab Emirates,32535,Rank,Rank,27,26,25,23,24,21,23,21,21
ARG,Argentina,32534,CPI Score,Total,35,34,34,32,36,39,40,45,42
ARG,Argentina,32535,Rank,Rank,102,106,107,107,95,85,85,66,78
ARM,Armenia,32534,CPI Score,Total,34,36,37,35,33,35,35,42,49
ARM,Armenia,32535,Rank,Rank,105,94,94,95,113,107,105,77,60
AUS,Australia,32534,CPI Score,Total,85,81,80,79,79,77,77,77,77
AUS,Australia,32535,Rank,Rank,7,9,11,13,13,13,13,12,11
AUT,Austria,32534,CPI Score,Total,69,69,72,76,75,75,76,77,76
AUT,Austria,32535,Rank,Rank,25,26,23,16,17,16,14,12,15
AZE,Azerbaijan,32534,CPI Score,Total,27,28,29,29,30,31,25,30,30
AZE,Azerbaijan,32535,Rank,Rank,139,127,126,119,123,122,152,126,129
BDI,Burundi,32534,CPI Score,Total,19,21,20,21,20,22,17,19,19
BDI,Burundi,32535,Rank,Rank,165,157,159,150,159,157,170,165,165
BEL,Belgium,32534,CPI Score,Total,75,75,,77,77,75,75,75,76
BEL,Belgium,32535,Rank,Rank,16,15,15,15,15,16,17,17,15
BEN,Benin,32534,CPI Score,Total,36,36,39,37,36,39,40,41,41
BEN,Benin,32535,Rank,Rank,94,94,80,83,95,85,85,80,83
BFA,Burkina Faso,32534,CPI Score,Total,38,38,38,38,42,42,41,40,40
BFA,Burkina Faso,32535,Rank,Rank,83,83,85,76,72,74,78,85,86
BGD,Bangladesh,32534,CPI Score,Total,26,27,25,25,26,28,26,26,26
BGD,Bangladesh,32535,Rank,Rank,144,136,145,139,145,143,149,146,146
BGR,Bulgaria,32534,CPI Score,Total,41,41,43,41,41,43,42,43,44
BGR,Bulgaria,32535,Rank,Rank,75,77,69,69,75,71,77,74,69
BHR,Bahrain,32534,CPI Score,Total,51,48,49,51,43,36,36,42,42
BHR,Bahrain,32535,Rank,Rank,53,57,55,50,70,103,99,77,78
BHS,"Bahamas, The",32534,CPI Score,Total,71,71,71,,66,65,65,64,63
BHS,"Bahamas, The",32535,Rank,Rank,22,22,24,,24,28,29,29,30
BIH,Bosnia and Herzegovina,32534,CPI Score,Total,42,42,39,38,39,38,38,36,35
BIH,Bosnia and Herzegovina,32535,Rank,Rank,72,72,80,76,83,91,89,101,111
BLR,Belarus,32534,CPI Score,Total,31,29,31,32,40,44,44,45,47
BLR,Belarus,32535,Rank,Rank,123,123,119,107,79,68,70,66,63
BOL,Bolivia,32534,CPI Score,Total,34,34,35,34,33,33,29,31,31
BOL,Bolivia,32535,Rank,Rank,105,106,103,99,113,112,132,123,124
BRA,Brazil,32534,CPI Score,Total,43,42,43,38,40,37,35,35,38
BRA,Brazil,32535,Rank,Rank,69,72,69,76,79,96,105,106,94
BRB,Barbados,32534,CPI Score,Total,76,75,74,,61,68,68,62,64
BRB,Barbados,32535,Rank,Rank,15,15,17,,31,25,25,30,29
BRN,Brunei Darussalam,32534,CPI Score,Total,55,60,,,58,62,63,60,60
BRN,Brunei Darussalam,32535,Rank,Rank,46,38,,,41,32,31,35,35
BTN,Bhutan,32534,CPI Score,Total,63,63,65,65,65,67,68,68,68
BTN,Bhutan,32535,Rank,Rank,33,31,30,27,27,26,25,25,24
BWA,Botswana,32534,CPI Score,Total,65,64,63,63,60,61,61,61,60
BWA,Botswana,32535,Rank,Rank,30,30,31,28,35,34,34,34,35
CAF,Central African Republic,32534,CPI Score,Total,26,25,24,24,20,23,26,25,26
CAF,Central African Republic,32535,Rank,Rank,144,144,150,145,159,156,149,153,146
CAN,Canada,32534,CPI Score,Total,84,81,81,83,82,82,81,77,77
CAN,Canada,32535,Rank,Rank,9,9,10,9,9,8,9,12,11
CHE,Switzerland,32534,CPI Score,Total,86,85,86,86,86,85,85,85,85
CHE,Switzerland,32535,Rank,Rank,6,7,5,7,5,3,3,4,3
CHL,Chile,32534,CPI Score,Total,72,71,73,70,66,67,67,67,67
CHL,Chile,32535,Rank,Rank,20,22,21,23,24,26,27,26,25
CHN,China,32534,CPI Score,Total,39,40,36,37,40,41,39,41,42
CHN,China,32535,Rank,Rank,80,80,100,83,79,77,87,80,78
CIV,Cote d'Ivoire,32534,CPI Score,Total,,,,,,36,35,35,36
CIV,Cote d'Ivoire,32535,Rank,Rank,,,,,,103,105,106,104
CMR,Cameroon,32534,CPI Score,Total,26,25,27,27,26,25,25,25,25
CMR,Cameroon,32535,Rank,Rank,144,144,136,130,145,153,152,153,149
COD,"Congo, Dem. Rep.",32534,CPI Score,Total,,,,,,,20,18,18
COD,"Congo, Dem. Rep.",32535,Rank,Rank,,,,,,,161,168,170
COG,"Congo, Rep.",32534,CPI Score,Total,,,,,,21,19,19,19
COG,"Congo, Rep.",32535,Rank,Rank,,,,,,161,165,165,165
COL,Colombia,32534,CPI Score,Total,36,36,37,37,37,37,36,37,39
COL,Colombia,32535,Rank,Rank,94,94,94,83,90,96,99,96,92
COM,Comoros,32534,CPI Score,Total,28,28,26,26,24,27,27,25,21
COM,Comoros,32535,Rank,Rank,133,127,142,136,153,148,144,153,160
CPV,Cabo Verde,32534,CPI Score,Total,60,58,57,55,59,55,57,58,58
CPV,Cabo Verde,32535,Rank,Rank,39,41,42,40,38,48,45,41,41
CRI,Costa Rica,32534,CPI Score,Total,54,53,54,55,58,59,56,56,57
CRI,Costa Rica,32535,Rank,Rank,48,49,47,40,41,38,48,44,42
CUB,Cuba,32534,CPI Score,Total,48,46,46,47,47,47,47,48,47
CUB,Cuba,32535,Rank,Rank,58,63,63,56,60,62,61,60,63
CYP,Cyprus,32534,CPI Score,Total,66,63,63,61,55,57,59,58,57
CYP,Cyprus,32535,Rank,Rank,29,31,31,32,47,42,38,41,42
CZE,Czech Republic,32534,CPI Score,Total,49,48,51,56,55,57,59,56,54
CZE,Czech Republic,32535,Rank,Rank,54,57,53,37,47,42,38,44,49
DEU,Germany,32534,CPI Score,Total,79,78,79,81,81,81,80,80,80
DEU,Germany,32535,Rank,Rank,13,12,12,10,10,12,11,9,9
DJI,Djibouti,32534,CPI Score,Total,36,36,34,34,30,31,31,30,27
DJI,Djibouti,32535,Rank,Rank,94,94,107,99,123,122,124,126,142
DMA,Dominica,32534,CPI Score,Total,58,58,58,,59,57,57,55,55
